Rank,KOL,Point
188,SuzzyDefi,0.002284423572329113
189,DeFi_Dad,0.002270539901156276
190,AskBlockchain,0.0022566562299836225
191,BCBacker,0.0022566562299836225
192,blockchainspc,0.002242772558810581
193,NeiroOnEthereum,0.0022288888876357445
194,ethereumJoseph,0.0022011215452877484
195,LazyLionsNFT,0.0022011215452877484
196,BVMnetwork,0.002173354202941497
197,ONTOWallet,0.002173354202941497
198,SolanaPrincess,0.002173354202941497
199,rockyrabbitio,0.002145586860593036
200,BitcoinMemeHub,0.002131703189419559
201,solflare_wallet,0.0021178195182469557
202,flow_blockchain,0.0021039358470735948
203,QBlockchain,0.0021039358470735948
204,RunOnFlux,0.0021039358470735948
205,SerCrypto_,0.0021039358470735948
206,NFTgirl,0.0021039358470735948
207,Defiqueen01,0.0020900521759013527
208,Myria,0.002076168504729785
209,micsolana,0.002076168504729785
210,TheBitcoinConf,0.0020622848335552623
211,temsdefi,0.0020622848335552623
212,Web3foundation,0.0020622848335552623
213,wcoin_io,0.0020622848335552623
214,SolanaExpert_1,0.00204840116238069
215,PyroNFT,0.0020345174912055975
216,StepFinance_,0.002020633820033179
217,blockchaincap,0.0020067501488578087
218,ImCryptoMessiah,0.001978982806505415
219,TheSolanaCalls,0.001978982806505415
220,Dot_Blockchain,0.0019512154641563519
221,TienCypress,0.0019512154641563519
222,CryptoEmdarks,0.0019512154641563519
223,TrojanOnSolana,0.0019512154641563519
224,0xiceberg_com,0.0019095644506451316
225,Barndog_Solana,0.0018956807794747303
226,Mint_Blockchain,0.0018817971083043394
227,cryptohorsesgl,0.0018679134371339522
228,PocketRocket_io,0.0018679134371339522
229,JGNDeFi,0.0018540297659635364
230,Bitcoinbeach,0.001840146094793142
231,Rl00l18,0.001840146094793142
232,BTCFoundation,0.0018262624236227356
233,taskonxyz,0.0017984950812819475
234,CryptoGarga,0.0017846114101115508
235,BitcoinPierre,0.0017707277389411543
236,NEAR_Blockchain,0.0017568440677707452
237,Sanemavcil,0.00174296039660033
238,web3games,0.00174296039660033
239,MEonBTC,0.0017290767254299285
240,BitcoinTina,0.0017151930542595394
241,TheW3Space,0.0017151930542595394
242,OmniX_NFT,0.0017151930542595394
243,WomenriseNFT,0.0017151930542595394
244,StarkDefi,0.0016735420407483514
245,elBitcoin,0.0016318910272371612
246,intent_trade,0.0016180073560667476
247,MyroSOL,0.0015902400137259736
248,evergrowcoinEGC,0.0015902400137259736
249,Eragon_gg,0.0015763563425555635
250,DeFiKingdoms,0.0015624726713851745
251,SolNftFinder,0.001534705329044356
252,Hi_PoPPOfficial,0.0015208216578739267
253,PulsechainCom,0.0014791706443627044
254,gmcatcoin,0.0014514033020218838
255,1_llI,0.0014514033020218838
256,Macky_DeFi,0.0014375196308514956
257,OttoSuwenNFT,0.0014236359596810964
258,xircusweb3,0.001409752288510705
259,GeoffreyHuntley,0.0013958686173402971
260,ForbesWeb3,0.0013819849461699162
261,SolSeaNFT,0.0013819849461699162
262,CryptoZykee,0.0013542176038179804
